Team,Position,Shirt number,Name,Minutes played,Games played,Full games played,Games started,Games where substituted,Yellow Cards,Red Cards,Second Yellows,Goals scored,Penalties scored,Own goals,Goals conceded while player on pitch,Tackles,Interceptions,Recoveries,Clearances,Successful tackles,Unssuccessful tackles,Last man,Successful duels,Duels lost,Successful aerial challenges,Unsuccessful aerial challenges,Offsides,Fouls suffered,Fouls committed,Penalties won,Penalties given away,Handballs committed,Fouls committed per card,Shots,Shots on target,Assists,Successful dribbles,Unsuccessful dribbles,Goals scored,From inside the area,From outside the area,Goals with left foot,Goals with right foot,Penalties scored,Goals scored with header,Goals from set piece,Crosses,Corners,Tackles,Duels,Man-to-man duels,Aerial duels,Passes,Short passes,Long passes,Through balls,Goals scored per attempt
Atlético de Madrid,Midfielder,30,Mikel Carro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Midfielder,32,Borja Garcés,19,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,4,4,0,0,1
Atlético de Madrid,Midfielder,40,Victor Mollejo,62,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,11,2,5,0,2,4,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,13,7,23,23,0,0,0
Atlético de Madrid,Midfielder,47,Joaquín Muñoz,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0
Atlético de Madrid,Midfielder,55,Sergio Camello,45,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,2,2,0,9,9,0,0,0
Atlético de Madrid,Midfielder,57,Gustavo Assunção,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Forward,7,Griezmann,3.202,37,31,37,6,5,0,0,15,3,0,29,1,12,118,21,19,12,0,82,108,42,57,12,35,18,0,0,2,7,86,46,9,17,25,11,4,12,2,3,1,3,0,55,61,31,289,190,99,1.388,1.287,79,22,6
Atlético de Madrid,Forward,9,Kalinić,639,17,0,7,17,3,0,0,2,0,0,4,0,2,13,2,4,2,0,15,23,17,21,3,9,14,0,0,1,5,6,5,0,0,3,2,0,0,1,0,0,0,0,0,0,6,76,38,38,107,106,1,0,2
Atlético de Madrid,Forward,10,Correa,1.92,36,5,20,31,7,1,0,3,0,0,22,5,17,123,18,19,19,0,135,178,10,25,11,36,38,1,0,1,13,21,11,2,61,38,1,2,0,3,0,0,0,0,32,2,38,348,313,35,714,667,34,13,3
Atlético de Madrid,Forward,11,Lemar,1.827,31,5,22,26,4,0,0,3,0,0,11,1,22,106,4,21,17,0,118,119,9,26,7,33,23,0,0,3,7,19,12,3,48,31,2,1,3,0,0,0,0,0,32,49,38,272,237,35,938,882,50,6,2
Atlético de Madrid,Forward,19,Diego Costa,1.114,16,8,14,8,4,1,0,2,0,0,8,0,2,24,6,1,3,0,28,61,29,61,11,15,22,0,0,3,9,12,10,2,9,11,1,1,0,1,0,1,0,0,4,0,4,179,89,90,300,291,7,2,2
Atlético de Madrid,Forward,22,Morata,1.089,15,5,13,10,5,0,0,6,0,0,13,0,5,33,13,14,6,0,55,58,61,50,14,19,29,0,0,1,13,24,13,1,19,6,6,0,2,2,0,2,0,0,7,0,20,224,113,111,256,250,5,1,4
Atlético de Madrid,Forward,23,Vitolo,744,20,1,5,19,1,0,0,0,0,0,6,1,10,53,4,13,4,0,84,56,5,18,2,40,6,0,0,2,0,4,1,1,27,18,0,0,0,0,0,0,0,0,3,1,17,163,140,23,308,290,15,3,0
CD Leganés,Goalkeeper,1,Cuéllar,3.056,34,33,34,1,5,0,0,0,0,0,38,0,2,316,35,0,0,0,2,1,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,15,984,157,827,0,0
CD Leganés,Goalkeeper,13,Andrés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD Leganés,Goalkeeper,29,Andriy Lunin,364,5,4,4,1,0,0,0,0,0,0,5,0,0,31,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,105,29,76,0,0
CD Leganés,Goalkeeper,31,David Tejero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD Leganés,Defender,2,Juanfran,1.459,23,11,17,12,0,0,0,1,0,0,21,4,19,76,25,12,8,0,49,38,20,18,0,18,8,0,0,0,0,5,3,1,13,13,1,0,0,1,0,0,0,0,92,6,20,125,87,38,456,380,76,0,1
CD Leganés,Defender,3,Bustinza M.,2.029,25,18,24,7,9,1,1,0,0,0,22,14,53,101,106,31,10,0,69,49,58,46,0,30,31,0,2,1,12,6,1,1,3,1,0,0,0,0,0,0,0,0,24,0,41,222,118,104,866,663,203,0,0
CD Leganés,Defender,4,Diego Reyes,319,6,2,4,4,1,0,0,0,0,0,6,4,7,20,16,4,3,0,10,4,10,2,0,1,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,7,26,14,12,168,145,23,0,0
CD Leganés,Defender,5,J. Silva,2.7,30,30,30,0,9,0,0,3,0,0,34,2,29,144,70,38,13,0,81,102,17,22,3,20,50,0,0,2,14,19,8,6,11,14,1,2,3,0,0,0,0,0,133,23,51,222,183,39,887,727,158,2,3
CD Leganés,Defender,12,Nyom,1.712,23,13,20,10,8,1,0,1,0,0,19,2,20,90,26,24,8,0,60,59,24,17,4,20,34,0,0,1,19,4,3,1,9,12,1,0,0,1,0,0,0,0,63,0,32,160,119,41,491,441,50,0,1
CD Leganés,Defender,14,Kravets,484,6,3,6,3,2,0,0,0,0,0,6,1,4,30,8,11,5,0,26,26,7,7,0,3,11,0,0,0,4,3,2,0,7,3,0,0,0,0,0,0,0,0,29,0,16,66,52,14,165,146,19,0,0
